14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,10,10,10,10,10,10,14,14,14,14,14
14,14,14,14,8,15,15,15,15,15,15,2,14,14,14,14
10,10,10,8,15,15,15,15,16,15,15,15,2,14,14,14
15,15,15,15,15,15,15,15,15,15,15,15,15,6,14,14
15,15,16,15,15,15,15,15,15,15,15,16,15,2,14,14
15,15,15,15,15,15,15,15,14,15,16,15,15,15,14,14
15,15,15,15,15,15,16,15,15,15,15,15,15,5,14,14
13,11,15,15,15,15,15,15,15,15,15,15,15,6,14,14
14,14,13,11,15,15,15,15,15,16,15,15,5,14,14,14
14,14,14,14,13,13,11,15,15,15,5,13,14,14,14,14
14,14,14,14,14,14,14,13,13,13,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
